,Record.No.,Herbarium,Accession.No,Collector,Colln.No.,Mo,Day,Year,State,County,Locality,Description,Latitude,Longitude,Elevation,Mean.Temp,Mean.Precip,Apex.Shape,Sinus.Shape,Lf.Length1,Lf.Width1,Lf.Length2,Lf.Width2,Lf.Length.Av,Lf.Width.Av,WL.Ratio,Lf.Area.Prox
325,335L,OKL,01 0027352,"Bradbury, Dorothy",s.n.,5,,1942,OK,,Price's Falls,,34.426411,-97.106848,243.6,16.5,914,2,4,59.96,72.92,54.83,69.86,57.4,71.39,1.243728223,2731.62
326,336L,OKL,01 0027343,"Hopkins, Milton",4815,5,9,1940,OK,Murray County,"4 mi. S. Turner falls, Arbuckle Mts.",,34.373802,-97.137197,380.9,16.4,922,2,3,63.82,79.56,56.77,65.52,60.3,72.54,1.202985075,2915.87
327,337L,OKL,01 0051486,"Little, Elbert L. Jr.",38348,6,19,1985,OK,Kiowa County,Great Plains State Park,,34.766288,-98.96044,432,16,596,6,3,81.01,74.46,64.45,68.94,72.73,71.7,0.985838031,3476.49
328,338L,BRIT,,"Whitehouse, Eula",15674,5,4,1946,TX,Cooke County,"Grand Prairie, west of Highway 77 north of Gainesville near Red River bridge",duplicate,33.727488,-97.16027,197,17.5,916,4,4,72.33,84.16,68.01,67.75,70.17,75.96,1.082513895,3553.17
329,339L,BRIT,9130,"Lemke, D.E.",1001,5,18,1987,TX,Sabine County,"Willow Oak campground, on W shore of Toledo Bend Reservoir, Sabine National Forest, S of town of Fairmount",,31.209834,-93.731382,52,18.4,1339,4,2,97.21,93.7,88.52,89.13,92.87,91.42,0.984386777,5659.5
330,340L,BRIT,,"Kessler, James",5554,4,17,1982,TX,Harris County,Edge of woods on Nimitz High School Outdoor Learning Center,duplicate,30.007005,-95.388279,30,20.1,1201,2,3,53.06,58.74,58.42,54.76,55.74,56.75,1.018119842,2108.83
331,341L,BRIT,,"Taylor, John",10574,5,30,1972,TX,Fannin County,"2 miles west of Windom, 9.5 miles east of Bonham.",,33.572945,-96.0344,178.1,16.9,1108,4,3,57.81,54.17,59.74,63.54,58.78,58.86,1.001361007,2306.14
332,342L,BRIT,,"Wallis, Charles",4847,7,13,1957,TX,Ochiltree County,Bank of Wolf Creek 12 mi. SE of Perryton on US 83 and 5 mi. E of hwy,,36.228768,-100.657854,810.6,NA,NA,4,3,79.94,85.56,91.4,93.56,85.67,89.56,1.045406794,5115.07
333,343L,BRIT,,"Cory, V.L.",55795,5,6,1949,TX,McLennan County,"Waco, near mouth of Bosque River, Cameron Park",,31.583393,-97.156132,148.6,19.3,813,2,4,67.29,92.75,60.93,83.96,64.11,88.36,1.378256122,3776.29
334,344L,BRIT,,"Miller, Mibs",57,10,9,1970,TX,Limestone County,"Ft. Parker State Park, ca 3 mi. N of Groesbeck",,31.594256,-96.532807,131.4,19,963,2,3,68.92,70.62,59.61,61.48,64.27,66.05,1.027695659,2829.8
335,345L,BRIT,,"Nixon, E.S.",17683,4,10,1992,TX,Leon County,"Fort Boggy State Park; 4 miles S. Centerville, TX, Hwy 75",,31.188254,-95.982793,79.6,19,1030,5,3,82.62,89.25,82.32,80.39,82.47,84.82,1.02849521,4663.4
336,346L,BRIT,,"Whitehouse, Eula",15410,4,21,1946,TX,Erath County,about 1 mile south of Bluff Dale; gravel pit near creek,,32.331762,-98.037691,318.6,18,793,1,4,45.4,69.38,47.71,57.34,46.56,63.36,1.360824742,1966.48
337,347L,BRIT,,"Wolff, S.E.",3002,7,14,1931,TX,McLennan County,Dry limestone hill N of Bosque River,,31.603701,-97.191528,134.8,19.2,817,2,4,65.51,92.68,61.99,82.16,63.75,87.42,1.371294118,3715.35
338,350L,BRIT,,"White, Mary E.",88,10,10,1971,TX,Wood County,ca. 0.9 mi. S of junction of Hwy 37 with Coke Rd,,32.939802,-95.304804,148.3,17.4,1101,4,3,80,82.37,82.47,81.37,81.24,81.87,1.007754801,4433.81
339,352L,BRIT,,"Demaree, Delzie",47245,6,30,1963,LA,Sabine Parish,"Toledo Bend Reservoir, Sabine River, Sabine Parish",,31.291135,-93.567909,64,18.3,1358,6,3,101.77,92.44,82.22,82.86,92,87.65,0.952717391,5375.57
340,353L,BRIT,,"Bandi, Richard",843,7,5,1972,LA,,"Lincoln Parish, along RR tracks on La. Tech campus near Wesley Foundation on College Dr., Ruston, LA",,32.528867,-92.645069,90.1,17.6,1362,2,3,80,88.04,80.4,86.04,80.2,87.04,1.085286783,4653.74
341,354L,BRIT,,"Burkunas, V.J.",84,9,24,1969,LA,,"Sugar Creek area, 5 miles northwest of Simsboro LA. In Claiborne Parish; 92 51 w, 32 37n",,32.616598,-92.849837,105.1,17.5,1355,5,3,102.56,103.43,94.56,91.44,98.56,97.44,0.988636364,6402.13
342,355L,BRIT,,"Smith, H.P.",s.n.,5,24,1870,OH,Montgomery County,"Dayton, OH ; date collected is for leaves, fruit collected June 1 1870",,39.758948,-84.191607,225,11.4,968,4,4,69.48,89.44,66.7,81.86,68.09,85.65,1.257893964,3887.94
343,357L,BRIT,,"Burbanck, M.P.",s.n.,6,5,1960,GA,DeKalb County,Emory University campus,,33.753412,-84.382568,303,15.8,1307,4,3,71.7,67.59,63.53,60.08,67.62,63.84,0.944099379,2877.47
344,358L,BRIT,,"Lasseigne, Alex",548,7,22,1967,LA,Tangipahoa Parish,"Tangipahoa Parish, Newman Park, 2 miles south of Kentwood along highway to Amite",,30.90706,-90.512499,59,18.8,1643,5,3,123.62,119.53,115.04,112.12,119.33,115.83,0.970669572,9214.26
345,359L,BRIT,,"Diamond, A.R.",13102,4,27,2002,AL,Conecuh County,"Conecuh County Highway 77, ca. 300 feet north of US Hwy 31",,31.438108,-86.934504,94.4,17.9,1563,5,3,76.86,73.9,83.5,77.4,80.18,75.65,0.94350212,4043.74
346,360L,BRIT,,"Diamond, A.R.",13461,7,7,2002,AL,Crenshaw County,Un-numbered dirt road .3 mile west of Town Creek,,31.857853,-86.366132,112.8,17.9,1403,6,2,99.41,90.4,107.17,92.68,103.29,91.54,0.886242618,6303.44
347,361L,BRIT,,"Diamond, A.R.",13613,8,20,2002,AL,Bullock County,"Sehoy Plantation, north of Alabama Hwy 51",,32.233881,-85.513602,104,17.7,1331,4,4,90.99,99.37,84.77,84.7,87.88,92.04,1.047337278,5392.02
348,362L,BRIT,,"Hayes, J.L.",50,7,11,1969,AL,Chambers County,2 mi. N of Standing Rock near granite outcrop.,,33.100071,-85.242759,201.3,16.4,1389,6,2,108.76,97.37,116.9,94.33,112.83,95.85,0.84950811,7209.84
349,363L,BRIT,,"Henderson, T.",86,5,20,1981,AL,Clarke County,"Rockville, AL. (T25N; R2E; Sec. 2)",,31.428336,-87.840568,82.9,18.3,1567,4,3,87.02,97.4,72.28,82.32,79.65,89.86,1.128185813,4771.57
350,364L,BRIT,,"Kral, R.",12917,6,29,1961,VA,Tazewell,Cedar Bluff,,37.087562,-81.75899,598.9,11.1,1125,4,3,74,75.56,68.99,71.46,71.5,73.51,1.028111888,3503.73
351,365L,BRIT,,"Vines, Ruby V.",B-1724,4,25,1941,TX,"Harris County, Fort Bend Co, and Montgomery County",Houston,,29.760306,-95.356642,12.9,20.5,1156,5,3,102.79,111.96,92.24,100.22,97.52,106.09,1.087879409,6896.91
352,366L,BRIT,,"Cory, V.L.",54622,7,10,1948,TX,Dallas County,"Forest Hills, Dallas; White Rock Drive near San Benito Way",,32.810758,-96.716804,146.9,18.5,937,4,4,98.15,100.04,83.84,86.98,91,93.51,1.027582418,5672.63
353,367L,BRIT,,"Cory, V.L.",56112,5,14,1949,TX,Cooke County,7.8 miles north of Gainesville; infrequent on north-facing slope of limestone ridge paralleling Red River,,33.728417,-97.158302,197,17.5,916,2,4,68.6,84.05,61.7,78.46,65.15,81.26,1.247275518,3529.18
354,368L,BRIT,,"Hess, W.",3161,4,26,1974,TX,Blanco County,6 1/2 mi. S. of Blanco on Co Rd. 473 along roadside,,30.002183,-98.405446,387.8,18.8,868,2,4,43.72,67.06,57.9,61.86,50.81,64.46,1.268647904,2183.48
355,369L,BRIT,,"Shinners, Lloyd H.",11325,5,26,1949,TX,Bosque County,12.5 miles north-northeast of Walnut Springs,,32.196414,-97.629196,197,18.5,816,1,4,60.39,80.66,62.97,84.27,61.68,82.47,1.337062257,3390.96
356,370L,BRIT,,"Shinners, Lloyd H.",28288,4,30,1960,TX,Coryell County,5.6 miles east of Gatesville,,31.428341,-97.64962,280.4,18.6,827,1,5,84.04,124.78,85.77,106.68,84.91,115.73,1.362972559,6550.7
357,372L,BRIT,,"Whitehouse, Eula",15777,5,23,1946,TX,Denton County,"Post Oak Belt, 1 mile southwest of Argyle, low grounds along creek",,33.107284,-97.193034,214.9,17.7,918,2,4,78.98,93,70.8,76.36,74.89,84.68,1.130725063,4227.79
358,373L,BRIT,,"Whitehouse, Eula",15924,6,6,1946,TX,Denton County,"Post Oak Belt, 6 miles northeast of Roanoke",,33.066172,-97.153569,209.9,17.9,913,6,4,71.89,79.9,67.9,67.8,69.9,73.85,1.056509299,3441.16
359,374L,BRIT,,"Whitehouse, Eula",16066,6,15,1946,TX,Tarrant County,"Post Oak Belt, on Village Creek, 2 miles southeast of Everman",,32.607322,-97.261042,183.8,18.5,853,2,4,57.06,65.56,54.51,67.45,55.79,66.51,1.192149131,2473.32
360,375L,BRIT,,"Traverse, Alfred",2124,9,5,1961,TX,Uvalde County,ca. 5.1 mi. N of intersection of Highway 83 with Road 127,,29.562107,-99.743505,430.6,19.4,656,1,4,49.87,58.16,58.78,59.72,54.33,58.94,1.084851831,2134.61
361,376L,BRIT,,"Cory, V.L.",49432,6,2,1945,TX,Bandera County,7 miles north of Vanderpool; Can Creek,,29.825446,-99.588582,581.6,17.9,721,2,4,60.27,79.08,56.81,72.32,58.54,75.7,1.293132901,2954.32
362,377L,BRIT,,"Franklin, L.E.",186,7,11,1962,TN,Davidson County,3.3 mi. SE of Una on Smith Springs Road,,36.080864,-86.588431,157.5,14.5,1217,4,3,69.87,72.58,66.77,76.36,68.32,74.47,1.090017564,3391.86
363,378L,BRIT,,"Holmes, E.R. III",78,5,4,1963,TN,Davidson County,"Nashville, TN, Vanderbilt Campus",,36.146309,-86.801508,169.7,14.3,1230,4,3,73.53,77.54,82.79,87.88,78.16,82.71,1.05821392,4309.74
364,379L,BRIT,,"Smith, R.J.",367,9,18,1993,TN,White County,Southeastern section of county. Martin Rd. near old roadbed,,35.864553,-85.316393,524.7,13.1,1469,4,3,85.67,84.76,84.05,78.67,84.86,81.72,0.962997879,4622.89
365,380L,BRIT,,"Gonsoulin, G.",1216,7,25,1969,TN,Decalb County,ca. 4.5 mi S. of Lancaster on Tenn 141,,36.102505,-85.825979,193.9,14.1,1395,4,3,117.84,128.4,110.4,123.54,114.12,125.97,1.103838065,9583.8
366,382L,BRIT,,"Phillippe, Loy R.",3793,5,14,1974,TN,Grundy County,Savage Gulf along the coach rd,,35.426251,-85.567357,606,13.1,1528,5,3,111.65,107.87,79.88,89.04,95.77,98.46,1.028088128,6285.7
367,383L,BRIT,,"Jones, Ronald L.",2476,5,19,1980,TN,Hardin County,"Shiloh National Military Park, Rhea Springs picnic area",,35.130152,-88.353642,136,15.4,1414,4,3,97.75,101.82,81.07,79.71,89.41,90.77,1.015210827,5410.2
368,384L,BRIT,,"Howell, Sandra",517,6,27,1991,TN,Lewis County,2.5 air mi. N of Napier. Under Trace Bridge near Napier Road [lat/long taken for a bridge only 1 mi. N of Napier; bridge is closer to Napier Rd and seemed more likely than a bridge further N),,35.453987,-87.46878,274.5,14.1,1426,2,4,73.36,85.25,75.22,85.13,74.29,85.19,1.146722304,4219.18
369,385L,BRIT,,"Small, John K.",s.n.,8,2,1892,VA,Smyth County,"Marion, along Middle fork Holston River",,36.83485,-81.824002,685.6,11.8,1128,6,3,97.49,81.06,97.98,83.34,97.74,82.2,0.841006753,5355.88
370,387L,BRIT,,"Little, Elbert L. Jr.",36405,11,4,1980,OK,Garvin County,"Branch of Salt Creek, 5 mi. N of Foster. Sec. 3, T2N, R3W. Table Top Mts, 5-10 mi. NW of Elmore City",,34.686497,-97.487771,345.7,16.2,912,4,4,76.37,87.56,70.25,77.79,73.31,82.68,1.127813395,4040.6
371,388L,BRIT,,"Stevens, G.W.",869,6,11,1913,OK,Dewey County,"Edge of woods along creek, near Canton",duplicate,36.053668,-98.588395,482.2,14.7,699,2,3,48.27,52.71,37.02,40.35,42.65,46.53,1.090973036,1322.85
372,389L,BRIT,,"Franklin, L.E.",296,7,31,1962,TN,Rutherford County,"Snail Shell Cave, 1.9 mi. NE of Rockvale on country road off Tenn. Hwy. 99",,35.778978,-86.536674,229,14.4,1329,4,3,84.42,102.2,75.96,83.36,80.19,92.78,1.15700212,4960.02
373,390L,BRIT,,"Quarterman, E.",4036,8,5,1947,TN,Rutherford County,"LaVergne, 4 mi. N",,36.073166,-86.585716,152,14.5,1217,4,4,67.4,79.18,63.01,69.38,65.21,74.28,1.139089097,3228.95
374,391L,BRIT,,"Baskin, J.",595,6,14,1967,TN,Tipton County,6 miles west of Covington on Hwy 59 W,,35.557925,-89.777914,125.5,15.5,1305,4,3,104.39,105.93,110.32,104.98,107.36,105.46,0.982302534,7547.41
375,392L,BRIT,,"Dutton, John",102,7,24,1993,TN,Knox County,Knoxville Quad (1978). Behind Condominium at 4031 Heather Court off Sutherland Avenue.,,35.943841,-83.986445,301.1,14.2,1280,4,3,93.39,95.79,87.04,89.27,90.22,92.53,1.025604079,5565.06
376,393L,BRIT,,"Kral, R.",28530,7,8,1967,TN,Maury County,ca. 5 mi. N. Columbia-Chapel Hill exit along Interstate 65,,35.715625,-86.87842,221.7,14.2,1344,4,3,75.32,83.11,78.15,86.07,76.74,84.59,1.102293458,4327.34
377,394L,BRIT,,"Blum, Kurt E.",3782,6,17,1969,TN,Montgomery County,Big Mc Adoo Creek a short walk E of Tenn. 12,,36.497497,-87.327382,115,14.3,1273,4,3,125.08,110.75,111.25,106.56,118.17,108.66,0.919522722,8559.48
378,396L,BRIT,,"Guthrie, Milo",951,5,27,1986,TN,Obion County,"E. Side of Bayou du Chien, N. of Walnut Log. Reelfoot Lake.",,36.474874,-89.309384,85.7,14.5,1278,5,3,90.46,79.73,81.71,74.23,86.09,76.98,0.894180509,4417.88
379,397L,BRIT,,"Nighswonger, P.",3136,6,1,1991,MO,Lewis County,About 4 miles north of La Grange. On hiss just off of US Hwy #61,,40.097418,-91.514049,156.6,11.2,972,4,3,93.06,96.89,87.93,106.1,90.5,101.5,1.121546961,6123.19
380,398L,BRIT,,"Demaree, Delzie",25485,9,2,1945,MS,Warren County,Boess Ridges; Vicksburg,duplicate,32.652646,-90.877882,28.2,17.7,1403,4,3,89.27,91.93,82.76,85.69,86.02,88.81,1.032434318,5092.66
381,400L,BRIT,,"Long, R.W.",477,6,,1955,OH,Greene County,Uplands near camp; Clifton Gorge,,39.79478,-83.833379,304,10.7,989,4,4,81.71,89.83,64.32,78.04,73.02,83.94,1.149548069,4085.68
382,401L,BRIT,,"Broccolo, James E.",34,11,10,2001,OH,Butler County,"along the alley near Main and Walnut Streets, Oxford",,39.508961,-84.742673,287.9,10.9,1035,4,4,72.93,78.93,74.26,74.25,73.6,76.59,1.040625,3757.76
383,403L,BRIT,,"Wilbur, R.L.",6806,5,10,1963,NC,Stanly County,Below upper power dam on Yadkin River east of Badin,,35.393965,-80.072848,84,15.4,1173,6,3,88.06,87.58,85.54,84.1,86.8,85.84,0.988940092,4967.27
384,404L,BRIT,,"O'Kennon, Robert J.",18234,5,9,2003,TX,Wise County,LBJ Grasslands Unit 66; near bridge over tributary of Denton Creek at 230 m elevation,,33.364234,-97.531557,255.5,17.6,883,6,5,65.89,72.16,54.69,70.79,60.29,71.48,1.185602919,2872.82
385,405L,BRIT,,"McGregor, Don L.",119,7,18,1971,TX,Titus County,N of Monticello,duplicate,33.112676,-95.089403,103.1,17.3,1141,4,3,74.43,72.21,94.13,93.25,84.28,82.73,0.981608923,4648.32
386,406L,BRIT,,"Ruth, Albert",s.n.,4,18,1929,TX,Tarrant County,,,32.761324,-97.324063,181.9,18.5,839,2,4,68.21,88.36,57.31,68.28,62.76,78.32,1.247928617,3276.91
387,408L,BRIT,,"Thomas, R. Dale",451,6,14,1968,AR,Independence County,"Beside rd. along Glenns Creek, about 2.2 mi. from Lock 3, Sec. 14, R7w, T14N",,35.818046,-91.84058,100.1,15.1,1204,4,3,98.87,106.56,92.14,88.98,95.51,97.77,1.023662444,6225.02
388,409L,BRIT,,"Kral, R.",73555,6,27,1986,AL,Morgan County,"hills above Tennessee River, S of Huntsville by US 231",,34.578721,-86.566704,172.6,15.6,1403,4,3,62.79,58.92,57.11,58.66,59.95,58.79,0.980650542,2349.64
389,410L,BRIT,,"Barber, J.P.",635,5,28,1984,AL,Jefferson County,Along AL highway 269 ca. 1 mi. S of jct w/ Co. Rd. 61,duplicate,33.611957,-87.132074,136.6,16.3,1457,4,3,98.05,98.58,81.89,86.2,89.97,92.39,1.026897855,5541.55
390,411L,BRIT,,"Diamond, A.R.",16415,5,24,2006,AL,Crenshaw County,Un-numbered dirt road just south of Panther Creek,,31.649166,-86.38749,84,17.9,1448,4,3,75.69,77.49,77.32,76.71,76.51,77.1,1.00771141,3932.36
391,412L,BRIT,,"Hudson, Mary",217,11,7,1971,AL,Lee County,on the side of the library on the Auburn University campus,,32.603117,-85.482777,211.2,16.9,1428,4,3,86.48,83.29,75.26,76.15,80.87,79.72,0.985779646,4297.97
392,413L,BRIT,,"Spratling, R.E.",31,6,22,1971,AL,Lee County,Auburn; street in front of Drake Infirmary,,32.606229,-85.484999,206,16.9,1428,4,4,78.72,88.14,70.16,73.8,74.44,80.97,1.087721655,4018.27
393,414L,BRIT,,"Simonds, E.P.",31,6,23,1969,AL,Lee County,,,32.64457,-85.678659,186.3,16.9,1441,5,2,99.67,99.9,90.35,89.82,95.01,94.86,0.998421219,6008.43
394,416L,BRIT,,"Matlock, Ralph S.",76,6,18,1948,OK,Payne County,"3 1/2 mi. W, 3 1/4 mi. S of Stillwater",,36.068806,-97.12254,307.1,15.3,877,6,3,99.22,92.82,90.25,78.48,94.74,85.65,0.904053198,5409.37
395,417L,BRIT,,"Cory, V.L.",49434,6,2,1945,TX,Bandera County,7 3/4 miles north of Vanderpool,,29.836667,-99.572359,592.1,17.7,733,2,4,43.63,54.68,41.42,50.14,42.53,52.41,1.232306607,1485.82
396,418L,BRIT,,"Tucker, G.E.",10249,7,30,1972,KS,Cherokee County,"1/2 m E of intersection of highways 69 and 57, streamside",,37.178289,-94.831549,268,14.1,1071,4,3,69.04,75.77,69.72,68.28,69.38,72.03,1.038195445,3331.4
397,420L,BRIT,,"Friesner, R.C.",3087,7,5,1931,IN,Monroe County,10 mi. SE Bloomington,,39.080607,-86.417933,185.2,11.8,1096,4,4,84.75,92.97,67.2,86.62,75.98,89.8,1.181889971,4548.12
398,421L,BRIT,,"Demaree, Delzie",19847,8,11,1939,AR,Pope County,Bottoms; P.O. Dover,,35.401471,-93.114341,135,15.3,1198,4,3,78.09,75.96,85.52,73.13,81.81,74.55,0.911257792,4065.44
399,422L,BRIT,,"Demaree, Delzie",15231,6,13,1937,AR,Phillips County,Crowley's Ridge; P.O. Helena,,34.52933,-90.590241,62.8,16,1357,4,3,113.46,128.06,117.88,120.1,115.67,124.08,1.072706838,9568.22
400,423L,BRIT,,"Demaree, Delzie",30040,9,24,1950,AR,Marion County,Bull Shoals Dam Reservoir; P.O. Peel,,36.433431,-92.748315,229.9,14.4,1093,4,1,102.3,99.68,94.09,79.92,98.2,89.8,0.914460285,5878.61
401,424L,BRIT,,"Demaree, Delzie",55943,4,27,1967,AR,Logan County,Ouachita Region; P.O. Booneville,,35.042242,-93.92611,274,15.7,1033,4,4,72.92,82.34,75.13,72.63,74.03,77.49,1.046737809,3823.88
402,425L,BRIT,,"Demaree, Delzie",19184,6,14,1939,AR,Lincoln County,P.O. Star City,,33.942879,-91.843467,83.5,16.8,1314,4,3,102.32,92.99,82.11,93.72,92.22,93.36,1.012361744,5739.15
403,426L,BRIT,,"Lueckemeyer, Jennifer",19,4,8,1994,TX,Travis County,Mt. Bonnel Park,,30.321238,-97.774117,156.8,19.9,817,2,6,61.89,82.35,65.66,75.31,63.78,78.83,1.235967388,3351.59
404,427L,BRIT,,"Lundell, C.L.",9099,5,24,1940,TX,Travis County,"on hills about 10 miles northwest of Austin, near Marshall-Ford Dam",,30.391462,-97.908001,147.1,19.6,813,1,5,61.04,81.41,66.49,76.66,63.77,79.04,1.239454289,3359.78
405,428L,BRIT,,"Massey, A.B.",s.n.,7,23,1941,VA,Montgomery County,Along Blacksburg Ellitt [Elliott?] Rd by former town water works,,37.228964,-80.414261,629.9,11.1,999,4,3,71.14,75.88,73.1,69.3,72.12,72.59,1.006516916,3490.13
406,429L,BRIT,,"Kral, R.",87449,5,3,1998,TX,Dallas County,W side Duncansville by i-20 exit 461,,32.669655,-96.931263,221.4,18.6,900,2,4,50.81,70.06,51.98,60.47,51.4,65.27,1.269844358,2236.2
407,430L,BRIT,,"Kral, R.",92658,5,23,2002,TX,Newton County,"by US 190, 4.4 mi. W of Newton",,30.865343,-93.828046,73.5,18.6,1384,4,3,90.5,86.64,80.86,78.86,85.68,82.75,0.965802988,4726.68
408,431L,BRIT,,"Cory, V.L.",59090,6,21,1951,OK,Murray County,Price's Falls,,34.427584,-97.106533,236.4,16.5,914,1,5,84.74,128.83,81.16,111.24,82.95,120.04,1.447136829,6637.94
409,433L,BRIT,,"Demaree, Delzie",64998,5,31,1972,AR,Sevier County,Cossatot River bottoms,,34.036201,-94.339152,124.3,16.3,1322,4,3,85.91,98.28,87.9,96.32,86.91,97.3,1.119548959,5637.24
410,434L,BRIT,,"Sundell, Eric",9114,9,7,1989,AR,Drew County,Monticello,,33.631217,-91.794604,79.6,16.6,1366,5,3,99.65,86.36,85.96,86.97,92.81,86.67,0.933843336,5361.96
411,435L,BRIT,,"Demaree, Delzie",25407,5,13,1945,AR,Drew County,A & M College Farm; P.O. Monticello,,33.591472,-91.813196,82.4,16.6,1371,4,3,67.37,78.76,73.7,84.98,70.54,81.87,1.160618089,3849.8
412,436L,BRIT,,"Demaree, Delzie",27023,7,4,1948,AR,Clay County,Small bottom Crowley's Ridge; P.O. Piggott,,36.384434,-90.22617,107.8,14.6,1233,4,3,71.55,71.13,75.75,76.43,73.65,73.78,1.001765105,3622.6
413,437L,BRIT,,"Thornhill, Randy",104,7,11,1969,AL,Lee County,Auburn; Cone Street,,32.604552,-85.45715,207.6,16.9,1422,6,2,91.25,80.4,99.34,84.11,95.3,82.26,0.86316894,5225.66
414,439L,BRIT,,"Demaree, Delzie",21218,8,4,1948,AR,Greene County,Crowley's Ridge State Park; P.O. Walcott,,36.050236,-90.665591,97.5,15.3,1236,6,2,82.37,64.55,78.69,58.76,80.53,61.66,0.765677387,3310.05
415,440L,BRIT,,"Galloway, Juanita",182,8,10,1972,AL,Lee County,"Lee Co Hwy 37, 8 mi SE of Auburn",,32.529644,-85.376377,197.7,17.2,1382,4,3,98.41,99.16,94.08,101.64,96.25,100.4,1.043116883,6442
416,441L,BRIT,,"Isely, Duane",4385,9,9,1945,AL,Lauderdale County,near Tennessee border,duplicate,34.947401,-87.6553,207.3,15.1,1406,4,3,83.81,93.89,70.91,74.11,77.36,84,1.085832472,4332.16
417,443L,BRIT,,"Diamond, A.R.",11572,7,1,2000,AL,Conecuh County,"Conecuh County Highway 77, ca. 500 feet north of US Hwy 31 in Evergreen",,31.440083,-86.933575,92,17.9,1563,5,3,81.94,75.04,76.61,67.54,79.28,71.29,0.899217962,3767.68
418,444L,BRIT,,"Haynes, Robert R.",6003,9,26,1976,AL,Barbour,"along co. rt. 97, ca. 5 mi. N of Eufala, N1/2 sec. 5, T11N, R29E",,31.96104,-85.144902,101.7,18.1,1293,6,3,76.89,68.45,71.95,64.16,74.42,66.31,0.891023918,3289.61
419,446L,BRIT,,"Ward, Nancy",49,6,22,1975,AR,Washington County,1.5 Mi W of campus on Halsell St; Fayetteville,,36.068667,-94.185389,428,14,1142,4,3,83.92,96.66,88.66,107.47,86.29,102.07,1.182871712,5871.46
420,447L,BRIT,,"Prater, James D.",127,7,17,1946,OK,Payne County,2 mi. NE of Stillwater,likely duplicate with KANU00159849,36.134177,-97.02834,278.1,15.3,879,4,3,85.38,92.46,75.05,79.89,80.22,86.18,1.074295687,4608.35
421,449L,BRIT,,"Cory, V.L.",59055,6,21,1951,OK,Murray County,Turner Falls; limestone hill near the falls,,34.425638,-97.148133,281.3,16.4,923,1,3,56.57,62.61,56.73,58.9,56.65,60.76,1.07255075,2294.51
422,450L,BRIT,,"Demaree, Delzie",25485,9,2,1945,MS,Warren County,Loess ridges; P.O. Vicksburg,,32.352656,-90.878169,70,18.2,1392,4,2,98.5,98.89,100.53,99.1,99.52,99,0.99477492,6567.66
423,451L,BRIT,,"Shaffer, Anna",70,6,18,1979,TN,DeKalb County,Hwy 56 S .6 miles from Smithville exit off I-40. Tech Aqua. Side road above garden plot at woods edge,,36.080936,-85.726178,313.3,14,1409,4,3,101.26,115.12,96.02,98.27,98.64,106.7,1.081711273,7016.26
424,452L,BRIT,,"Kral, R.",82608,6,13,1993,TN,Davidson County,"Small trees of Kral lot, Green Hills, S side of Nashville",,36.103579,-86.816731,167.4,14.3,1241,4,3,99.14,99.43,91.84,86.36,95.49,92.9,0.972876741,5913.7
425,453L,BRIT,,"Gonsoulin, G.",1410,6,24,1970,TN,Cheatham County,"along Harpeth Rd. at The Narrows, ca. 4 mi. N of Shacklet",,36.147247,-87.121442,156.8,14,1300,5,3,106.93,101.22,92.71,94.28,99.82,97.75,0.979262673,6504.94
426,454L,BRIT,,"Cory, V.L.",59067,6,21,1951,OK,Murray County,"Platt National Park, Sulphur; one plant seen near Antelope spring",,34.504821,-96.942464,331.5,15.9,972,4,3,103.96,98.02,90.98,104.97,97.47,101.5,1.041346055,6595.15
427,455L,BRIT,,"C, J.F.",s.n.,6,24,1926,PA,Lancaster County,"Mid. Run ravine, Martic Forge",,39.90544,-76.327641,66.3,10.9,1077,4,3,59.43,64.22,69.86,66.27,64.65,65.25,1.009280742,2811.84
428,456L,BRIT,,"Dimmick, D.E.",2033,5,17,1939,PA,Monroe County,Mount Tom,,41.028958,-75.158963,149.9,9.4,1154,4,3,122.77,130.63,115.12,111.27,118.95,120.95,1.016813787,9590.93
429,457L,BRIT,,"Taylor, John",14079,7,28,1973,OK,Woodward County,Boiling Springs State Park,,36.454057,-99.298117,575.4,14.8,606,4,3,76.32,85.69,73.93,78.84,75.13,82.27,1.095035272,4120.11
430,458L,BRIT,,"Little, Elbert L. Jr.",36456,11,8,1980,OK,Woodward County,"Boiling Springs State Park, 6 mi. E of Woodward",,36.456031,-99.313959,580.4,14.8,606,5,3,129.66,124.58,113.97,107.77,121.82,116.18,0.953702184,9434.57
431,459L,BRIT,,"Mikula, Bernard",4273,9,4,1949,VA,Frederick County,north of Cross Junction,,39.364189,-78.302685,323.8,10.7,946,4,3,89.39,89.1,94.72,98.04,92.06,93.57,1.016402346,5742.39
432,460L,BRIT,,"Applegarth, Patrick C.",135,8,29,1976,KY,Kenton County,"2/10 m. SE of junction of Elberta Cir. And St. Joseph Ln, Park Hills",,39.061892,-84.826428,245.2,11.7,1081,2,4,55.35,80.37,65.69,84.21,60.52,82.29,1.359715796,3320.13
433,461L,BRIT,,"Carraway, Daniel T.",281,8,22,1988,MS,Jasper County,"Tallahala Wildlife Mngmt Area, ca 1.75 miles S of Forest Service road #506 at end of Forest Service #506-C; T4N R10E S20 NE4",,32.174663,-89.301018,107,17.4,1465,4,3,84.09,76.22,85.75,78.71,84.92,77.47,0.912270372,4385.55
